,Facility/HHS Code,Facility/HHS Desc,Last Month in QTR,Triage Category,Number of Attendances,Variation in the number of attendances (%),Patients Seen within clinically recommended times (%),Median Waiting time to treatment (minutes),Patients who did not wait for treatment (%),Patients admitted from the Emergency Department (%),Admissions to hospital within 4 hours (%),Patients whose ED stay was within 4 hours (%),Number of patients who left after treatment commenced,Percentage of patients who left after treatment commenced (%),Number of patients who did not wait for treatment,Median Wait Traffic Light
0,1,Mater Adult,Jun-24,1,58,-17.1,100,0,0,72.4,31,34.5,0,0,0,
1,1,Mater Adult,Jun-24,2,2998,17.4,37.6,16,1.2,44.9,22.2,33.9,60,2,37,
2,1,Mater Adult,Jun-24,3,6035,-4.4,54.2,27,3.1,40.8,26.1,38.1,171,2.8,188,
3,1,Mater Adult,Jun-24,4,3767,-8,78.9,28,6.4,20.8,39.4,59.3,128,3.4,242,
4,1,Mater Adult,Jun-24,5,513,-20.8,94.8,29,15.8,6,41.9,77.6,20,3.9,81,
5,1,Mater Adult,Jun-24,ALL,13371,-2.3,58.7,25,4.1,34.9,27.4,44.6,379,2.8,548,
6,4,Prince Charles,Jun-24,1,215,-0.5,100,0,0,71.2,43.1,41.4,0,0,0,
7,4,Prince Charles,Jun-24,2,4986,-12.9,73.2,7,0.2,59.5,44.9,49.8,85,1.7,9,
8,4,Prince Charles,Jun-24,3,13663,0.7,61.1,22,2.5,41.5,34.1,47.7,470,3.4,347,
9,4,Prince Charles,Jun-24,4,9169,-8.1,73.9,28,4.5,13.8,40.3,75.5,331,3.6,415,
10,4,Prince Charles,Jun-24,5,1196,19.7,89.6,28,7.7,11.7,75.7,85.4,46,3.8,92,
11,4,Prince Charles,Jun-24,ALL,29229,-4.1,68.6,19,3,34.9,38.7,58.3,932,3.2,863,
12,11,Princess Alexandra,Jun-24,1,728,6.1,100,1,0,92.6,51.8,50.5,1,0.1,0,
13,11,Princess Alexandra,Jun-24,2,4747,15.1,61.3,7,0.7,68.5,26.2,26.5,255,5.4,31,
14,11,Princess Alexandra,Jun-24,3,7657,0.6,54.9,26,2,46.6,24.9,29.8,771,10.1,152,
15,11,Princess Alexandra,Jun-24,4,2854,-10.9,77.9,29,4.8,23.3,20.8,35.3,416,14.6,138,
16,11,Princess Alexandra,Jun-24,5,849,-11.3,95.1,28,8.4,19,55.9,55.9,144,17,71,
17,11,Princess Alexandra,Jun-24,ALL,16835,1.5,64.4,18,2.3,49.4,27.9,32,1587,9.4,392,
18,15,Ipswich,Jun-24,1,236,7.8,100,1,0,78.8,17.7,21.6,2,0.8,0,
19,15,Ipswich,Jun-24,2,6442,20.7,54.7,9,1,55.4,27.2,32.1,601,9.3,65,
20,15,Ipswich,Jun-24,3,9889,-4.3,60.3,23,3.4,42.2,27.3,39.4,1222,12.4,338,
21,15,Ipswich,Jun-24,4,3059,-23.5,77.6,26,6,21,31.8,56.4,392,12.8,184,
22,15,Ipswich,Jun-24,5,315,-36.1,90.6,27,10.2,11.7,29.7,72.4,50,15.9,32,
23,15,Ipswich,Jun-24,ALL,19941,-2.2,62,17,3.1,43.2,27.4,39.9,2267,11.4,619,
24,16,Redcliffe,Jun-24,1,87,-18.7,100,0,0,67.8,35.6,36.8,2,2.3,0,
25,16,Redcliffe,Jun-24,2,2489,5.4,71.1,7,0.1,60.8,44.5,50.9,47,1.9,3,
26,16,Redcliffe,Jun-24,3,9851,10.1,52.3,29,1.7,41.7,32,42.1,760,7.7,168,
27,16,Redcliffe,Jun-24,4,5755,5.1,74.6,32,3.1,20.8,33.4,60.4,457,7.9,181,
28,16,Redcliffe,Jun-24,5,602,-18.4,91.8,31,5.8,6.8,39,83.2,40,6.6,35,
29,16,Redcliffe,Jun-24,ALL,18784,6.5,63,26,2.1,36.8,35,50.1,1306,7,387,
30,22,Queen Elizabeth II,Jun-24,1,138,22.1,100,1,0,81.2,24.1,32.6,0,0,0,
31,22,Queen Elizabeth II,Jun-24,2,3410,14,83.5,6,0,59.5,40,47.9,86,2.5,0,
32,22,Queen Elizabeth II,Jun-24,3,9298,4.1,62,20,1.2,43.2,32.7,41.3,841,9,115,
33,22,Queen Elizabeth II,Jun-24,4,3330,-7.7,64.3,37,2.3,17.6,31.3,52.9,410,12.3,75,
34,22,Queen Elizabeth II,Jun-24,5,159,1.9,85.7,42,11.9,3.1,60,76.7,28,17.6,19,
35,22,Queen Elizabeth II,Jun-24,ALL,16335,3.4,67.5,15,1.3,41.3,34.7,45.3,1365,8.4,209,
36,28,Redland,Jun-24,1,142,-16.5,100,0,0,74.6,18.9,24.6,2,1.4,0,
37,28,Redland,Jun-24,2,3328,11.8,67.4,8,0.1,59.3,44.8,51.1,57,1.7,4,
38,28,Redland,Jun-24,3,7437,-6.6,67.2,16,2.2,38.6,39.1,51.5,277,3.7,162,
39,28,Redland,Jun-24,4,3251,-15.2,78,20,3,13.7,40.7,73.4,118,3.6,98,
40,28,Redland,Jun-24,5,298,-23.8,93.8,21,10.1,3.4,20,84.9,9,3,30,
41,28,Redland,Jun-24,ALL,14456,-5.7,70.5,13,2,37.4,40.9,56.7,463,3.2,294,
42,29,Logan,Jun-24,1,435,19.5,100,0,0,80.7,36.8,42.1,8,1.8,0,
43,29,Logan,Jun-24,2,8963,7.8,66.3,8,0.3,59.2,47.4,45.5,590,6.6,28,
44,29,Logan,Jun-24,3,12564,-5.5,56.5,25,3.5,42.8,39.9,43.2,1579,12.6,439,
45,29,Logan,Jun-24,4,4946,-8.6,70.4,29,8.1,17.7,36.4,53.2,738,14.9,400,
46,29,Logan,Jun-24,5,629,-6.7,84.1,31,15.3,7.5,44.7,72,72,11.4,96,
47,29,Logan,Jun-24,ALL,27537,-1.9,63.4,16,3.5,43.4,42.9,46.4,2987,10.8,963,
48,30,Caboolture,Jun-24,1,99,1,100,0,0,69.7,14.5,16.2,3,3,0,
49,30,Caboolture,Jun-24,2,3788,17.2,66.5,7,0.3,44,19.6,26.7,381,10.1,12,
50,30,Caboolture,Jun-24,3,9581,2.2,61.1,22,2,33.9,16.3,32,1679,17.5,192,
51,30,Caboolture,Jun-24,4,2942,-18.5,79.3,25,3.5,14.6,17,50.5,597,20.3,103,
52,30,Caboolture,Jun-24,5,147,-38.8,88.6,29,6.1,6.8,30,72.8,32,21.8,9,
53,30,Caboolture,Jun-24,ALL,16557,0,65.9,17,1.9,32.8,17.4,34.3,2692,16.3,316,
54,32,Sunshine Coast University,Jun-24,1,255,9.4,100,0,0,81.6,49,45.5,5,2,0,
55,32,Sunshine Coast University,Jun-24,2,5916,18.8,84,6,0.1,58.8,35.7,40.6,91,1.5,8,
56,32,Sunshine Coast University,Jun-24,3,12055,7.5,75.1,14,1.2,43.2,33.1,44.9,488,4,143,
57,32,Sunshine Coast University,Jun-24,4,6080,-2.1,80,23,3.3,16.8,41.6,65.5,383,6.3,202,
58,32,Sunshine Coast University,Jun-24,5,601,-10.3,93,31,7,6.5,61.5,79.9,35,5.8,42,
59,32,Sunshine Coast University,Jun-24,ALL,24907,6.8,79.1,12,1.6,40,35.3,49.8,1002,4,395,
60,41,Beaudesert,Jun-24,1,15,66.7,100,1,0,13.3,0,53.3,0,0,0,
61,41,Beaudesert,Jun-24,2,572,18.9,68.5,8,0.2,10.8,19.4,61.4,5,0.9,1,
62,41,Beaudesert,Jun-24,3,1503,8.7,91.1,10,2.6,8.6,27.7,77.5,41,2.7,39,
63,41,Beaudesert,Jun-24,4,2020,6.9,96.1,9,4.7,4,13.6,86,63,3.1,94,
64,41,Beaudesert,Jun-24,5,361,-5.5,99.6,6,4.7,0.6,0,93.9,8,2.2,17,
65,41,Beaudesert,Jun-24,ALL,4471,7.9,90.8,9,3.4,6.2,21.3,80.5,117,2.6,151,
66,42,Boonah,Jun-24,1,3,0,100,0,0,0,-,100,0,0,0,
67,42,Boonah,Jun-24,2,137,9.6,87.5,0,0,8.8,66.7,68.6,0,0,0,
68,42,Boonah,Jun-24,3,371,12.8,93.5,0,0.3,8.4,58.1,78.2,3,0.8,1,
69,42,Boonah,Jun-24,4,439,15.8,95.5,0,2.3,4.3,63.2,85,3,0.7,10,
70,42,Boonah,Jun-24,5,202,26.3,94.7,0,5.4,2,50,91.1,0,0,11,
71,42,Boonah,Jun-24,ALL,1152,15.7,93.7,0,1.9,5.7,60.6,81.9,6,0.5,22,
72,43,Caloundra,Jun-24,1,2,-33.3,100,0,0,0,-,100,0,0,0,
73,43,Caloundra,Jun-24,2,251,59.9,88.8,6,0,0,-,98,0,0,0,
74,43,Caloundra,Jun-24,3,727,28.4,81.5,15,1.7,0,-,97.9,1,0.1,12,
75,43,Caloundra,Jun-24,4,3118,-10.4,62.7,41,7.2,0,-,93.2,43,1.4,223,
76,43,Caloundra,Jun-24,5,2343,63.7,81.4,59,12,0.2,75,93,31,1.3,281,
77,43,Caloundra,Jun-24,ALL,6441,14.2,72.5,36,8,0.1,75,93.8,75,1.2,516,
78,44,Esk,Jun-24,1,6,50,100,1,0,16.7,0,66.7,0,0,0,
